,quality_score
0,0.89
1,0.22
2,0.22
3,0.22
4,0.22
5,0.22
6,0.22
7,0.22
8,0.22
9,0.22
10,0.22
11,0.22
12,0.22
13,0.22
14,0.22
15,0.22
16,0.22
17,0.22
18,0.44
19,0.44
20,0.44
21,0.56
22,0.44
23,0.44
24,0.78
25,0.33
26,0.78
27,0.44
28,0.44
29,0.56
30,0.44
31,0.44
32,0.44
33,0.44
34,0.44
35,0.44
36,0.44
37,0.44
38,0.56
39,0.56
40,0.56
41,0.56
42,0.56
43,0.56
44,0.56
45,0.56
46,0.56
47,0.56
48,0.56
49,0.56
50,0.56
51,0.56
52,0.56
53,0.56
54,0.56
55,0.56
56,0.56
57,0.56
58,0.56
59,0.56
60,0.67
61,0.56
62,0.67
63,0.33
64,0.56
65,0.44
66,0.56
67,0.44
68,0.44
69,0.44
70,0.44
71,0.56
72,0.56
73,0.44
74,0.56
75,0.56
76,0.56
77,0.22
78,0.33
79,0.44
80,0.44
81,0.22
82,0.44
83,0.56
84,0.56
85,0.56
86,0.44
87,0.56
88,0.56
89,0.56
90,0.44
91,0.56
92,0.56
93,0.33
94,0.56
95,0.44
96,0.56
97,0.56
98,0.56
99,0.22
100,0.56
101,0.56
102,0.44
103,0.56
104,0.44
105,0.44
106,0.44
107,0.44
108,0.33
109,0.44
110,0.22
111,0.56
112,0.44
113,0.56
114,1.0
115,0.78
116,0.56
117,0.56
118,0.56
119,0.56
120,0.56
121,0.56
122,0.56
123,0.56
124,0.67
125,0.44
126,0.44
127,0.56
128,0.44
129,0.67
130,0.56
131,0.44
132,0.56
133,0.56
134,0.56
135,0.56
136,0.56
137,0.44
138,0.44
139,0.44
140,0.44
141,0.33
142,0.44
143,1.0
144,1.0
145,0.44
146,0.44
147,0.33
148,0.33
149,0.33
150,0.44
151,0.33
152,0.78
153,0.33
154,0.67
155,0.33
156,0.33
157,0.44
158,0.44
159,0.44
160,0.44
161,0.44
162,0.44
163,0.33
164,0.44
165,0.33
166,0.56
167,0.44
168,0.33
169,0.67
170,0.44
171,0.67
172,0.44
173,0.56
174,0.78
175,0.56
176,0.67
177,0.33
178,0.44
179,0.22
180,1.0
181,0.67
182,0.78
183,0.67
184,0.78
185,0.78
186,0.78
187,0.78
188,0.78
189,0.78
190,0.67
191,0.78
192,0.78
193,0.44
194,0.44
195,0.33
196,0.33
197,0.33
198,0.44
199,0.33
200,0.44
201,0.33
202,0.44
203,0.44
204,0.44
205,0.44
206,0.44
207,0.44
208,0.44
209,0.44
210,0.78
211,0.89
212,0.78
213,0.22
214,0.56
215,0.89
216,0.89
217,1.0
218,0.67
219,0.44
220,0.44
221,0.78
222,0.44
223,0.44
224,0.44
225,0.44
226,0.44
227,0.56
228,0.67
229,0.44
230,0.33
231,0.67
232,0.78
233,0.22
234,0.44
235,0.33
236,0.56
237,1.0
238,1.0
239,1.0
240,0.78
241,0.89
242,0.56
243,0.56
244,0.56
245,0.56
246,0.56
247,0.56
248,0.56
249,0.56
250,0.56
251,0.44
252,0.56
253,0.56
254,0.56
255,0.44
256,0.56
257,0.56
258,0.56
259,0.56
260,0.56
261,0.56
262,0.56
263,0.22
264,0.22
265,0.22
266,0.22
267,0.22
268,0.22
269,0.22
270,0.22
271,0.22
272,0.22
273,0.22
274,0.22
275,0.22
276,0.22
277,0.22
278,0.11
279,0.22
280,0.67
281,0.67
282,0.67
283,0.67
284,0.67
285,0.67
286,0.67
287,0.67
288,0.67
289,0.33
290,0.89
291,0.78
292,0.56
293,0.56
294,0.44
295,0.44
296,0.67
297,0.67
298,0.67
299,0.56
300,0.33
301,0.56
302,0.22
303,0.22
304,0.22
305,0.22
306,0.22
307,0.22
308,0.22
309,0.22
310,0.22
311,0.22
312,0.22
313,0.22
314,0.22
315,0.22
316,0.22
317,0.33
318,0.22
319,0.33
320,0.22
321,0.22
322,0.22
323,0.22
324,0.22
325,0.22
326,0.22
327,0.22
328,0.33
329,0.33
330,0.67
331,0.56
332,0.56
333,0.22
334,0.89
335,0.67
336,0.56
337,0.56
338,0.56
339,0.56
340,0.56
341,0.56
342,0.56
343,0.56
344,0.56
345,0.56
346,0.56
347,0.44
348,0.56
349,0.56
350,0.56
351,0.56
352,0.56
353,0.44
354,0.44
355,0.44
356,0.56
357,0.56
358,0.44
359,0.33
360,0.33
361,0.33
362,0.33
363,0.33
364,0.33
365,0.33
366,0.33
367,0.33
368,0.33
369,0.33
370,0.33
371,0.33
372,0.33
373,0.33
374,0.33
375,0.33
376,0.33
377,0.33
378,0.33
379,0.33
380,0.33
381,0.33
382,0.33
383,0.33
384,0.33
385,0.33
386,0.33
387,0.33
388,0.33
389,0.33
390,0.33
391,0.33
392,0.33
393,0.33
394,0.33
395,0.33
396,0.33
397,0.78
398,0.78
399,0.78
400,0.89
401,0.89
402,0.67
403,0.44
404,0.44
405,0.33
406,0.78
407,0.67
408,0.44
409,0.44
410,0.44
411,0.67
412,0.44
413,0.78
414,0.44
415,0.56
416,0.44
417,0.56
418,0.44
419,0.33
420,0.89
421,0.56
422,0.89
423,0.22
424,0.78
425,0.89
426,0.78
427,0.56
428,0.44
429,0.33
430,0.33
431,0.44
432,0.56
433,0.56
434,0.56
435,0.56
436,0.44
437,0.56
438,0.56
439,0.56
440,0.56
441,0.33
442,1.0
443,0.22
444,0.78
445,0.44
446,0.78
447,0.89
448,0.33
449,0.56
450,0.78
451,0.56
452,0.56
453,0.56
454,0.44
455,0.56
456,0.56
457,0.56
458,0.56
459,0.44
460,0.44
461,0.44
462,0.44
463,0.44
464,0.56
465,0.44
466,0.56
467,0.56
468,0.44
469,0.44
470,0.44
471,0.44
472,0.44
473,0.44
474,0.44
475,0.89
476,0.44
477,0.89
478,0.89
479,0.22
480,0.22
481,0.22
482,0.22
483,0.22
484,0.22
485,0.22
486,0.22
487,0.22
488,0.22
489,0.22
490,0.22
491,0.22
492,0.11
493,0.22
494,0.22
495,0.22
496,0.56
497,0.44
498,0.56
499,0.67
500,0.44
501,0.56
502,0.56
503,0.56
504,0.56
505,0.44
506,0.78
507,0.56
508,0.44
509,0.33
510,0.33
511,0.33
512,0.33
513,0.33
514,0.33
515,0.44
516,0.44
517,0.67
518,0.56
519,0.33
520,0.44
521,0.56
522,0.56
523,0.44
524,0.44
525,0.44
526,0.56
527,0.44
528,0.56
529,0.56
530,0.56
531,0.56
532,0.67
533,0.44
534,0.44
535,0.44
536,0.44
537,0.44
538,0.33
539,0.44
540,0.44
541,0.44
542,0.67
543,0.33
544,0.44
545,0.56
546,0.56
547,0.44
548,0.56
549,0.56
550,0.44
551,0.33
552,0.33
553,0.67
554,0.78
555,0.78
556,0.78
557,0.22
558,0.22
559,0.56
560,0.78
561,1.0
562,0.78
563,0.89
564,0.56
565,0.56
566,0.44
567,0.44
568,0.56
569,0.56
570,0.56
571,0.44
572,0.44
573,0.22
574,0.67
575,0.56
576,0.67
577,0.78
578,0.78
579,0.67
580,0.67
581,0.67
582,0.89
583,0.33
584,0.78
